location	tree	age.base	height	dbh.cm	volume
2	1	20	4.8	6.6	11
2	1	30	9.5	15.6	80
2	1	40	14.2	22.3	240
2	1	50	18.8	28.3	505
2	1	60	23.1	32.2	805
2	1	70	26.2	34.6	1079
2	1	80	28.2	36.5	1335
2	1	90	30.2	37.8	1538
2	1	100	32.2	39.4	1761
2	1	110	33.5	41	1988
2	1	120	34.7	42.2	2176
2	1	130	35.5	43.3	2338
2	1	140	36.3	44.6	2550
2	1	150	37.1	46.3	2794
2	2	20	4	5.3	6
2	2	30	9.1	15.1	71
2	2	40	14.2	21.7	215
2	2	50	18.4	26.5	452
2	2	60	22.5	29.9	714
2	2	70	26	32.7	967
2	2	80	28.8	35	1261
2	2	90	30.6	36.8	1476
2	2	100	32.2	38.6	1695
2	2	110	33.7	40.2	1915
2	2	120	35	41.6	2107
2	2	130	36.2	43.2	2321
2	2	140	37.2	44.5	2508
2	2	150	38.1	46	2694
7	11	20	2.9	2.9	1.8
7	11	30	5.4	7.1	12
7	11	40	7.8	10.4	35
7	11	50	9.8	13.3	68
7	11	60	11.7	15.8	111
7	11	70	13.7	17.7	163
7	11	80	15.3	19.4	225
7	13	20	2.6	3	2.5
7	13	30	5.2	7.9	14
7	13	40	7.3	10.8	33
7	13	50	9.3	13.2	61
7	13	60	10.7	15.3	98
7	13	70	11.8	17.1	135
7	13	80	12.8	18.9	177
7	13	90	13.7	20.2	206
7	13	100	14.5	21.1	232
7	13	110	15.5	22.2	271
7	13	120	16.9	23.8	330
7	14	20	2.5	2.1	1.8
7	14	30	5.4	8.8	18
7	14	40	8.3	12.7	49
7	14	50	10.2	15.1	87
7	14	60	11.5	16.8	125
7	14	70	12.6	18.2	162
7	14	80	13.6	19.9	203
7	14	90	14.6	21.2	250
7	14	100	15.6	22.8	314
7	14	110	17	24.2	380
7	14	120	18.3	25.6	458
7	15	20	3.3	4.3	4.7
7	15	30	6.2	9.6	22
7	15	40	9	13	56
7	15	50	10.9	15.8	100
7	15	60	12.3	17.9	146
7	15	70	13.6	20	199
7	15	80	15	22.3	266
7	15	90	16.5	24.6	346
7	15	100	18.3	27.1	446
7	15	110	19.9	29.9	578
7	15	120	21.6	32.8	737
